name,recipe,difficulty,time(min)
김치찌개,"1. 김치와 돼지고기를 볶는다. 2. 물과 두부를 넣고 끓인다.",중,30
된장찌개,"1. 야채와 두부를 넣고 된장으로 끓인다.",하,20
name,recipe,difficulty,time(min)
감자탕,"감자와 돼지고기를 삶고 우거지와 양념을 넣어 끓인다.",중,60
쭈꾸미볶음,"쭈꾸미와 야채를 고추장 양념에 볶는다.",중,25
닭볶음탕,"닭고기와 감자, 고추장을 넣고 끓인다.",중,40
해물파전,"해물과 파를 밀가루 반죽에 넣어 부친다.",하,30
비빔국수,"국수와 야채, 고추장을 비벼서 만든다.",하,15
김밥,"밥과 김, 야채, 햄을 말아 만든다.",하,25
멸치국수,"멸치 육수에 국수를 삶아 넣는다.",하,20
순대국,"순대와 야채를 국물에 끓인다.",중,40
부대찌개,"햄, 소시지, 김치, 두부를 넣고 끓인다.",중,35
칼국수,"칼국수면과 야채를 국물에 넣고 끓인다.",하,25
홍합탕,"홍합과 야채를 국물에 넣고 끓인다.",하,20
매운탕,"생선과 야채, 고추장을 넣고 끓인다.",중,35
닭강정,"닭고기를 튀겨 양념에 버무린다.",중,40
고등어조림,"고등어와 무, 간장을 넣고 졸인다.",중,35
소고기무국,"소고기와 무를 국물에 넣고 끓인다.",하,30
계란찜,"계란과 물, 소금을 넣고 쪄낸다.",하,15
오코노미야키,"밀가루, 양배추, 해물을 넣고 부친다.",중,30
카츠동,"돈까스와 밥, 계란을 함께 조리한다.",중,30
샤오롱바오,"만두피에 돼지고기와 육즙을 넣어 찐다.",상,50
스시롤,"밥과 김, 생선, 야채를 말아 만든다.",중,30
떡볶이,"떡과 고추장, 어묵을 볶아 만든다.",하,20
샤브샤브,"소고기와 야채, 버섯을 끓여 먹는다.",중,30
불닭볶음면,"면과 닭고기, 매운소스를 볶아 만든다.",중,20
비프스튜,"소고기, 감자, 당근, 토마토를 끓인다.",상,60
토마토리조또,"쌀과 토마토, 치즈를 넣고 끓인다.",중,40
닭갈비,"닭고기와 고추장, 야채를 볶는다.",중,35
샌드위치,"빵에 햄, 치즈, 야채를 넣어 만든다.",하,15
스테이크,"소고기를 버터에 구워 감자와 함께 제공한다.",상,40
참치회,"참치를 썰어 무순과 간장과 함께 제공한다.",하,10
우동,"면과 국물, 어묵을 넣고 끓인다.",하,20
코코넛커리,"코코넛밀크와 닭고기, 카레를 끓인다.",중,35
샐러드파스타,"파스타와 야채, 드레싱을 섞는다.",하,20
오징어볶음,"오징어와 야채, 고추장을 볶는다.",중,25
카프레제샐러드,"토마토와 모짜렐라, 바질을 섞는다.",하,10
닭죽,"닭고기와 쌀, 야채를 끓인다.",하,40
버섯덮밥,"밥에 버섯과 양파를 볶아 올린다.",하,20
연어스테이크,"연어를 버터에 구워 레몬과 함께 제공한다.",중,30
콩나물국밥,"밥과 콩나물, 국물을 끓인다.",하,20
치즈돈까스,"돈까스에 치즈를 넣어 튀긴다.",중,35
마파두부,"두부와 돼지고기, 고추장을 볶는다.",중,25
치킨,"닭고기를 튀겨 양념에 버무린다.",중,40
피자,"도우에 치즈, 토마토소스, 페퍼로니를 올려 굽는다.",상,45
초밥,"밥에 생선과 김을 올려 만든다.",중,30
탕수육,"돼지고기를 튀겨 소스에 버무린다.",중,35
쌀국수,"쌀국수면과 소고기, 숙주를 끓인다.",중,30
라면,"면과 스프, 계란을 끓인다.",하,10
오므라이스,"밥과 계란, 야채, 케첩을 볶아 만든다.",하,20
갈비찜,"소갈비와 간장, 당근, 무를 넣고 찐다.",상,60
파스타,"면과 올리브오일, 마늘, 치즈를 볶는다.",중,25
잡채,"당면과 소고기, 야채를 볶는다.",중,30
짜장면,"면과 춘장, 돼지고기를 볶는다.",중,25
샐러드,"야채와 닭가슴살, 드레싱을 섞는다.",하,10
카레라이스,"밥과 카레, 감자, 당근을 볶는다.",하,20
스파게티,"면과 토마토소스, 치즈를 볶는다.",중,25
삼겹살,"삼겹살을 구워 마늘과 쌈채소와 함께 먹는다.",하,20
순두부찌개,"순두부와 해물, 고추를 넣고 끓인다.",중,30
김치찌개,"김치와 돼지고기를 볶는다. 2. 물과 두부를 넣고 끓인다.",중,30
된장찌개,"야채와 두부를 넣고 된장으로 끓인다.",하,20
